id,highway,cycleway,name,surface,geometry
way/4449164,secondary,track,Gatower Straße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.1842587, 52.5148274], [13.1841016, 52.5146108], [13.1840206, 52.5144992], [13.1837476, 52.5141228], [13.1836343, 52.5139666], [13.183512, 52.5137982], [13.1832586, 52.5134488], [13.1829677, 52.5130358], [13.1827575, 52.5127374], [13.1825752, 52.5124802], [13.1825331, 52.5124114], [13.1823373, 52.5121448], [13.1823024, 52.5120955], [13.1818861, 52.5115084], [13.1818638, 52.5114769], [13.1817923, 52.5113778], [13.1811451, 52.5104531], [13.1811154, 52.5104106], [13.1809863, 52.5102263], [13.1808916, 52.5100909], [13.1808211, 52.5099901], [13.1806945, 52.5098092]]}"
way/4449361,residential,opposite,Wallenbergstraße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.3121977, 52.4832369], [13.3123119, 52.4832318], [13.3124254, 52.4832245], [13.3125527, 52.4832165]]}"
way/4453040,secondary,track,Fürstenbrunner Weg,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.2800825, 52.5197964], [13.2800917, 52.5197331]]}"
way/4463298,motorway_link,no,N/A,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.3232221, 52.4565994], [13.3230837, 52.4565402], [13.3227828, 52.4563319]]}"
way/4463559,tertiary,separate,Rubensstraße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.3431879, 52.4741525], [13.3431022, 52.4747858]]}"
way/4469836,secondary,separate,Kaiserin-Augusta-Allee,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.3158268, 52.5257854], [13.3159304, 52.5257862], [13.3159979, 52.5257869]]}"
way/4469837,secondary,separate,Kaiserin-Augusta-Brücke,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.314896, 52.5257771], [13.3150426, 52.5257791]]}"
way/4471282,residential,opposite,Lohmeyerstraße,sett,"{""type"": ""LineString"", ""coordinates"": [[13.3012041, 52.5190262], [13.3011357, 52.5189362], [13.3010423, 52.5188054], [13.3009742, 52.5185368], [13.3009574, 52.5184855], [13.3008981, 52.5183041], [13.3007041, 52.5178342], [13.3006637, 52.5178053], [13.3006049, 52.517793], [13.3004976, 52.5177526]]}"
way/4475675,residential,separate,Mierendorffplatz,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.303776, 52.5255945], [13.3038123, 52.5256779], [13.303825, 52.5257063], [13.3038384, 52.5257417]]}"
way/4475903,secondary,track,Spanische Allee,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.1923976, 52.4337224], [13.192873, 52.4337687]]}"
way/4484024,tertiary,track,Heckerdamm,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.2743065, 52.541696], [13.2745162, 52.5416633], [13.275071, 52.541559], [13.2754977, 52.5414758], [13.2758138, 52.5414255], [13.2760183, 52.541393], [13.2778958, 52.5412027], [13.2779423, 52.541198], [13.2797986, 52.5410114], [13.2805403, 52.5409339], [13.2812771, 52.5408576], [13.2820087, 52.5407782], [13.2820885, 52.5407696], [13.2828804, 52.5406607], [13.2830431, 52.5406383], [13.2847341, 52.5404058], [13.2850892, 52.5403776], [13.2864251, 52.5402393], [13.2867571, 52.5402034], [13.2868334, 52.5401951], [13.2870338, 52.5401727]]}"
way/4484276,primary_link,no,Unter den Eichen,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.2908472, 52.4445619], [13.2911976, 52.4446392], [13.2922685, 52.4450289]]}"
way/4486628,residential,track,Cunostraße,asphalt,"{""type"": ""LineString"", ""coordinates"": [[13.296328, 52.4855601], [13.2964334, 52.4854604], [13.2964683, 52.485416], [13.2964765, 52.4854046], [13.2964809, 52.4853594], [13.2964817, 52.4852869], [13.2962487, 52.4840015], [13.2962136, 52.4838077], [13.2961927, 52.4836924], [13.2961771, 52.4836319], [13.296177, 52.4836311], [13.2960777, 52.4828289], [13.2960767, 52.4828198], [13.2960687, 52.4827507], [13.2960626, 52.4827046], [13.2959618, 52.4819365], [13.2959137, 52.481559], [13.2959051, 52.4814913], [13.2958736, 52.4812773], [13.2958637, 52.4811837], [13.2958518, 52.4810517], [13.2958034, 52.4806984], [13.2957464, 52.480256], [13.295692, 52.4798342], [13.2956385, 52.4794195], [13.2956318, 52.4793436], [13.2955818, 52.4789716], [13.2955713, 52.4788916]]}"
